rawTitle,normalizedTitle,count,exampleSetlistIds,reason
Jupiter（96猫）,jupiter96猫,1,live_4_item_2,no_discography_match
Love Ninja（ROOT FIVE）,loveninjarootfive,1,live_3_item_1,no_discography_match
magician's operation <Giga Remix ver>,magiciansoperationgigaremixver,1,live_5_item_3,no_discography_match
magnet（赤飯×ピコ）,magnet赤飯ピコ,1,live_3_item_1,no_discography_match
MERRY GO ROUND（ROOT FIVE）,merrygoroundrootfive,1,live_3_item_1,no_discography_match
MY→WAY（Dancing Dolls R）,mywaydancingdollsr,1,live_3_item_1,no_discography_match
REOL MASH UP Remix TIME,mashupremixtime,1,live_8_item_2,no_discography_match
S・K・Y（りょーくん）,skyりょーくん,1,live_3_item_1,no_discography_match
Shiningray（96猫）,shiningray96猫,1,live_3_item_1,no_discography_match
Starduster（96猫）,starduster96猫,1,live_4_item_2,no_discography_match
Super☆D（みきとP×まじ娘）,superdみきとpまじ娘,1,live_3_item_1,no_discography_match
The Bandits（Gero）,thebanditsgero,1,live_3_item_1,no_discography_match
View（蝶々P×rairu）,view蝶々prairu,1,live_3_item_1,no_discography_match
WAVE（kradness）,wavekradness,1,live_3_item_1,no_discography_match
Winners,winners,1,live_50_item_1,no_discography_match
アイマイ独立宣言（ゆうゆ×びびあん）,アイマイ独立宣言ゆうゆびびあん,1,live_3_item_1,no_discography_match
アストロノーツ（れをる）,アストロノーツれをる,1,live_4_item_2,no_discography_match
アポロ（天月）,アポロ天月,1,live_4_item_2,no_discography_match
"いーあるふぁんくらぶ Feat. Majiko, MIKITOP <Giga Remix ver>",いーあるふぁんくらぶfeatmajikomikitopgigaremixver,1,live_5_item_3,no_discography_match
いーあるふぁんくらぶ（96猫＆そらる）,いーあるふぁんくらぶ96猫そらる,1,live_0_item_1,no_discography_match
いーあるふぁんくらぶ（Gero×ぐるみたん）,いーあるふぁんくらぶgeroぐるみたん,1,live_3_item_1,no_discography_match
いーあるふぁんくらぶ（れをる＆kradness＆そらる＆96猫）,いーあるふぁんくらぶれをるkradnessそらる96猫,1,live_0_item_1,no_discography_match
えれくとりっく・えんじぇぅ（れをる）,えれくとりっくえんじぇぅれをる,1,live_0_item_1,no_discography_match
からくりピエロ koma'nアレンジver（koma'n（Pf）×cleanero）,からくりピエロkomanアレンジverkomanpfcleanero,1,live_3_item_1,no_discography_match
からくりピエロ（96猫）,からくりピエロ96猫,1,live_0_item_1,no_discography_match
こちら、幸福安心委員会です。（＿＿（アンダーバー））,こちら幸福安心委員会ですアンダーバー,1,live_3_item_1,no_discography_match
サクラミツツキ（天月）,サクラミツツキ天月,1,live_4_item_1,no_discography_match
サリシノハラ（みきとP×kain）,サリシノハラみきとpkain,1,live_3_item_1,no_discography_match
ジッタードール（れをる）,ジッタードールれをる,1,live_3_item_1,no_discography_match
スターフィッシュ（夏代孝明）,スターフィッシュ夏代孝明,1,live_4_item_2,no_discography_match
スターライトパレード（天月）,スターライトパレード天月,1,live_4_item_1,no_discography_match
ストリーミングハート,ストリーミングハート,1,live_5_item_2,no_discography_match
ストリーミングハート（＋α/あるふぁきゅん。）,ストリーミングハートαあるふぁきゅん,1,live_3_item_1,no_discography_match
デート（HoneyWorks×鎖那）,デートhoneyworks鎖那,1,live_3_item_1,no_discography_match
トキオ・ファンカ,トキオファンカ,1,live_5_item_2,no_discography_match
ネトゲ廃人シュプレヒコール（kradness）,ネトゲ廃人シュプレヒコールkradness,1,live_0_item_1,no_discography_match
フィードバック・インターステラ（そらる）,フィードバックインターステラそらる,1,live_4_item_2,no_discography_match
フタリボシ（天月&佐香智久）,フタリボシ天月佐香智久,1,live_4_item_2,no_discography_match
へたくそユートピア政策（スズム）,へたくそユートピア政策スズム,1,live_0_item_1,no_discography_match
ホシアイ（天月）,ホシアイ天月,1,live_4_item_2,no_discography_match
ホシトリアミ（夏代孝明）,ホシトリアミ夏代孝明,1,live_4_item_1,no_discography_match
マーシャルの嬌声（夏代孝明）,マーシャルの嬌声夏代孝明,1,live_3_item_1,no_discography_match
マトリョシカ（ROOT FIVE×luz）,マトリョシカrootfiveluz,1,live_3_item_1,no_discography_match
ルカルカ★ナイトフィーバー（samfree×愛川こずえ with I LoVU）,ルカルカナイトフィーバーsamfree愛川こずえwithilovu,1,live_3_item_1,no_discography_match
レッド・パージ！！！,レッドパージ,1,live_5_item_2,no_discography_match
レディーレ Fall apart arr.,レディーレfallapartarr,1,live_66_item_1,no_discography_match
ローリンガール（ぐるたみん）,ローリンガールぐるたみん,1,live_3_item_1,no_discography_match
下弦の月（96猫）,下弦の月96猫,1,live_4_item_1,no_discography_match
花鳥風月（佐香智久）,花鳥風月佐香智久,1,live_4_item_2,no_discography_match
金曜日のおはよう（HoneyWorks×Gero）,金曜日のおはようhoneyworksgero,1,live_3_item_1,no_discography_match
君の知らない物語（佐香智久）,君の知らない物語佐香智久,1,live_4_item_2,no_discography_match
月に負け犬（れをる）,月に負け犬れをる,1,live_4_item_1,no_discography_match
月のしずく（96猫）,月のしずく96猫,1,live_4_item_1,no_discography_match
月のワルツ（れをる）,月のワルツれをる,1,live_4_item_1,no_discography_match
見習いハーデス（赤飯）,見習いハーデス赤飯,1,live_3_item_1,no_discography_match
虎視眈々（luz）,虎視眈々luz,1,live_3_item_1,no_discography_match
光るなら（全員）,光るなら全員,1,live_4_item_1,no_discography_match
今好きになる。（HoneyWorks×鎖那）,今好きになるhoneyworks鎖那,1,live_3_item_1,no_discography_match
春を告げる,春を告げる,1,live_56_item_1,no_discography_match
小さな恋のうた（佐香智久）,小さな恋のうた佐香智久,1,live_4_item_1,no_discography_match
松本ぼんぼん（Born Born Remix）,松本ぼんぼんbornbornremix,1,live_36_item_9,no_discography_match
心臓デモクラシー Feat. MIKITOP,心臓デモクラシーfeatmikitop,1,live_5_item_3,no_discography_match
心拍数＃0822（kain）,心拍数0822kain,1,live_3_item_1,no_discography_match
心做し（ピコ）,心做しピコ,1,live_3_item_1,no_discography_match
人生リセットボタン（松下）,人生リセットボタン松下,1,live_3_item_1,no_discography_match
水底遊歩道,水底遊歩道,1,live_5_item_2,no_discography_match
世界は恋に落ちている（CHiCO with HoneyWorks）,世界は恋に落ちているchicowithhoneyworks,1,live_3_item_1,no_discography_match
星が瞬くこんな夜に（佐香智久）,星が瞬くこんな夜に佐香智久,1,live_4_item_1,no_discography_match
星が消えた夏（夏代孝明）,星が消えた夏夏代孝明,1,live_4_item_2,no_discography_match
星に願いを（そらる）,星に願いをそらる,1,live_4_item_1,no_discography_match
星の唄（天月&佐香智久）,星の唄天月佐香智久,1,live_4_item_1,no_discography_match
星間飛行（そらる）,星間飛行そらる,1,live_4_item_2,no_discography_match
星屑サンセット（れをる）,星屑サンセットれをる,1,live_4_item_2,no_discography_match
聖槍爆裂ボーイ（いかふぁきゅん（いかさん×＋α/あるふぁきゅん。）×れるりり）,聖槍爆裂ボーイいかふぁきゅんいかさんαあるふぁきゅんれるりり,1,live_3_item_1,no_discography_match
千本桜（ALL ARTISTS）,千本桜allartists,1,live_3_item_1,no_discography_match
体調不良のため出演キャンセル,体調不良のため出演キャンセル,1,live_31_item_1,no_discography_match
地球最後の告白を（un：c）,地球最後の告白をunc,1,live_3_item_1,no_discography_match
天体観測（全員）,天体観測全員,1,live_4_item_2,no_discography_match
二息歩行（りょーくん×赤飯）,二息歩行りょーくん赤飯,1,live_3_item_1,no_discography_match
脳漿炸裂ガール（れをる×＋α/あるふぁきゅん×れるりり）,脳漿炸裂ガールれをるαあるふぁきゅんれるりり,1,live_3_item_1,no_discography_match
妄想クエスチョン,妄想クエスチョン,1,live_5_item_2,no_discography_match
妄想税（れをる×nqrse）,妄想税れをるnqrse,1,live_3_item_1,no_discography_match
夜咄ディセイブ（un：c×夏代孝明）,夜咄ディセイブunc夏代孝明,1,live_3_item_1,no_discography_match
流線プリズム（kradness＆れをる）,流線プリズムkradnessれをる,1,live_0_item_1,no_discography_match
嗚呼、素晴らしきニャン生（＿＿（アンダーバー）×松下）,嗚呼素晴らしきニャン生アンダーバー松下,1,live_3_item_1,no_discography_match
帚星（夏代孝明）,帚星夏代孝明,1,live_4_item_1,no_discography_match
